Level,Code,Class title,Element Type Label English,Element Description English,,,,
4,0011,Legislators,Illustrative example(s),cabinet minister ,,,,
4,0011,Legislators,Illustrative example(s),city councillor ,,,,
4,0011,Legislators,Illustrative example(s),First Nations band chief ,,,,
4,0011,Legislators,Illustrative example(s),governor general ,,,,
4,0011,Legislators,Illustrative example(s),lieutenant-governor ,,,,
4,0011,Legislators,Illustrative example(s),mayor ,,,,
4,0011,Legislators,Illustrative example(s),Member of Legislative Assembly (MLA) ,,,,
4,0011,Legislators,Illustrative example(s),Member of Parliament (MP) ,,,,
4,0011,Legislators,Illustrative example(s),Member of the National Assembly (MNA) ,,,,
4,0011,Legislators,Illustrative example(s),Member of the Provincial Parliament (MPP) ,,,,
4,0011,Legislators,Illustrative example(s),premier ,,,,
4,0011,Legislators,Illustrative example(s),prime minister ,,,,
4,0011,Legislators,Illustrative example(s),school board trustee ,,,,
4,0011,Legislators,Illustrative example(s),senator ,,,,
4,0011,Legislators,All examples,Aboriginal band chief ,,,,
4,0011,Legislators,All examples,Aboriginal band council member ,,,,
4,0011,Legislators,All examples,alderman/woman ,,,,
4,0011,Legislators,All examples,attorney general ,,,,
4,0011,Legislators,All examples,cabinet minister ,,,,
4,0011,Legislators,All examples,city alderman ,,,,
4,0011,Legislators,All examples,city councillor ,,,,
4,0011,Legislators,All examples,city councilman/woman ,,,,
4,0011,Legislators,All examples,councillor ,,,,
4,0011,Legislators,All examples,First Nations band chief ,,,,
4,0011,Legislators,All examples,First Nations band council member ,,,,
4,0011,Legislators,All examples,First Nations government leader ,,,,
4,0011,Legislators,All examples,government leader ,,,,
4,0011,Legislators,All examples,governor general ,,,,
4,0011,Legislators,All examples,leader of the opposition ,,,,
4,0011,Legislators,All examples,legislative body speaker ,,,,
4,0011,Legislators,All examples,legislator ,,,,
4,0011,Legislators,All examples,lieutenant-governor ,,,,
4,0011,Legislators,All examples,mayor ,,,,
4,0011,Legislators,All examples,Member of Legislative Assembly (MLA) ,,,,
4,0011,Legislators,All examples,Member of Parliament (MP) ,,,,
4,0011,Legislators,All examples,Member of the House of Assembly (MHA) ,,,,
4,0011,Legislators,All examples,Member of the National Assembly (MNA) ,,,,
4,0011,Legislators,All examples,Member of the Provincial Parliament (MPP) ,,,,
4,0011,Legislators,All examples,metropolitan council chair ,,,,
4,0011,Legislators,All examples,municipal council chairman/woman ,,,,
4,0011,Legislators,All examples,opposition leader ,,,,
4,0011,Legislators,All examples,orator - government ,,,,
4,0011,Legislators,All examples,premier ,,,,
4,0011,Legislators,All examples,prime minister ,,,,
4,0011,Legislators,All examples,reeve ,,,,
4,0011,Legislators,All examples,regional municipality chair ,,,,
4,0011,Legislators,All examples,school board trustee ,,,,
4,0011,Legislators,All examples,senator ,,,,
4,0011,Legislators,All examples,solicitor general ,,,,
4,0011,Legislators,All examples,Treasury Board president ,,,,
4,0011,Legislators,Exclusion(s),Commissioners - government services  (See 0012 Senior government managers and officials),,,,
4,0011,Legislators,Exclusion(s),"Elected or appointed officials of health care institutions, educational institutions, unions and voluntary organizations  (See 0014 Senior managers - health, education, social and community services and membership organizations)",,,,
4,0011,Legislators,Main duties,This group performs some or all of the following duties: ,,,,
4,0011,Legislators,Main duties,"Enact, amend or repeal laws and regulations ",,,,
4,0011,Legislators,Main duties,"Participate in developing or amending government policies, programs or procedures ",,,,
4,0011,Legislators,Main duties,"Represent their government at local, national and international meetings and conferences ",,,,
